# emapper version: emapper-2.0.1 emapper DB: 2.0
# command: ./emapper.py  -i breviolum_proteins.faa -m diamond --data_dir . -o breviolum --cpu 8
# time: Tue Apr 15 15:47:42 2025
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	taxonomic scope	eggNOG OGs	best eggNOG OG	COG Functional cat.	eggNOG free text desc.
symbB.v1.2.005903.t1	192875.XP_004364647.1	6.94e-105	360.0	Opisthokonta	HFM1	GO:0000003,GO:0000280,GO:0000712,GO:0003674,GO:0003678,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006268,GO:0006310,GO:0006725,GO:0006807,GO:0006996,GO:0007049,GO:0007059,GO:0007127,GO:0007129,GO:0007131,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009058,GO:0009059,GO:0009987,GO:0010501,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022402,GO:0022414,GO:0031974,GO:0031981,GO:0032392,GO:0032508,GO:0034641,GO:0034645,GO:0035825,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045132,GO:0045143,GO:0046483,GO:0048285,GO:0051276,GO:0051304,GO:0051307,GO:0051321,GO:0061982,GO:0070013,GO:0070035,GO:0070192,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0098813,GO:0140013,GO:0140097,GO:0140098,GO:1901360,GO:1901576,GO:1903046	3.6.4.12	ko:K15271					ko00000,ko01000,ko03400				Opisthokonta	38FIN@33154,COG1204@1,KOG0952@2759	NA|NA|NA	A	ATP-dependent DNA- helicase
symbB.v1.2.005904.t1	2903.EOD08902	1.19e-67	220.0	Eukaryota													Eukaryota	29FGD@1,2RNN1@2759	NA|NA|NA	S	ADP-ribosylglycohydrolase
symbB.v1.2.005905.t1	109871.XP_006677699.1	2e-10	72.0	Fungi	RRN3	GO:0000120,GO:0000182,GO:0001042,GO:0001167,GO:0001169,GO:0001179,GO:0001181,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005667,GO:0005730,GO:0006139,GO:0006351,GO:0006355,GO:0006356,GO:0006360,GO:0006725,GO:0006807,GO:0008134,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019899,GO:0031323,GO:0031326,GO:0031974,GO:0031981,GO:0032774,GO:0032991,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043175,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044452,GO:0044464,GO:0044798,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0070013,GO:0070063,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:0140223,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:1990837,GO:2000112,GO:2001141		ko:K15216					ko00000,ko03021				Fungi	38C7T@33154,3NZ4B@4751,KOG2434@1,KOG2434@2759	NA|NA|NA	K	transcription initiation factor RRN3
symbB.v1.2.005907.t1	36331.EPrPI00000016494	3.99e-14	77.4	Pythiales	PDIL5-4	GO:0003674,GO:0003756,GO:0003824,GO:0016853,GO:0016860,GO:0016864,GO:0140096		ko:K20365,ko:K20367					ko00000,ko04131				Eukaryota	1MF51@121069,COG0445@1,KOG2667@2759	NA|NA|NA	U	Endoplasmic reticulum-Golgi intermediate compartment protein. Source PGD
symbB.v1.2.005908.t1	164328.Phyra82039	1.59e-09	67.8	Peronosporales				ko:K09553	ko05020,map05020				ko00000,ko00001,ko03110				Eukaryota	3Q8BF@4776,COG0457@1,KOG0548@2759	NA|NA|NA	O	Prefoldin subunit
symbB.v1.2.005909.t1	227086.JGI_V11_20769	4.12e-65	213.0	Eukaryota	GPAT	GO:0003674,GO:0003824,GO:0004366,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006629,GO:0006644,GO:0006650,GO:0006655,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008374,GO:0008610,GO:0008654,GO:0009058,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009987,GO:0016740,GO:0016746,GO:0016747,GO:0019637,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0045017,GO:0046471,GO:0046474,GO:0046486,GO:0071704,GO:0090407,GO:1901576	2.3.1.15	ko:K00630	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R00851,R09380	RC00004,RC00039,RC00041	ko00000,ko00001,ko00002,ko01000,ko01004			iRC1080.CRv4_Au5_s2_g9657_t1	Eukaryota	28J58@1,2QRHE@2759	NA|NA|NA	I	sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity
symbB.v1.2.005910.t1	554065.XP_005850320.1	6.17e-14	81.6	Chlorophyta		GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0006139,GO:0006351,GO:0006352,GO:0006355,GO:0006366,GO:0006367,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010646,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0023051,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0048583,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576,GO:1901796,GO:1902531,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141		ko:K13098,ko:K14651	ko03022,ko05202,map03022,map05202				ko00000,ko00001,ko03019,ko03021,ko03041				Viridiplantae	34KUP@3041,37QEG@33090,KOG1995@1,KOG1995@2759,KOG4198@1,KOG4198@2759	NA|NA|NA	A	Zinc finger domain
symbB.v1.2.005910.t2	554065.XP_005850320.1	5.93e-14	81.6	Chlorophyta		GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0006139,GO:0006351,GO:0006352,GO:0006355,GO:0006366,GO:0006367,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010646,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0023051,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0048583,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576,GO:1901796,GO:1902531,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141		ko:K13098,ko:K14651	ko03022,ko05202,map03022,map05202				ko00000,ko00001,ko03019,ko03021,ko03041				Viridiplantae	34KUP@3041,37QEG@33090,KOG1995@1,KOG1995@2759,KOG4198@1,KOG4198@2759	NA|NA|NA	A	Zinc finger domain
symbB.v1.2.005911.t1	72019.SARC_02612T0	2.51e-38	154.0	Opisthokonta													Opisthokonta	3AJXC@33154,COG2114@1,KOG4171@2759	NA|NA|NA	T	Adenylyl- / guanylyl cyclase, catalytic domain
symbB.v1.2.005918.t1	227086.JGI_V11_126934	5.27e-90	286.0	Eukaryota													Eukaryota	2DRDG@1,2S6DW@2759	NA|NA|NA	S	Beta-lactamase
symbB.v1.2.005919.t1	55529.EKX53960	1.79e-18	99.8	Eukaryota													Eukaryota	KOG4754@1,KOG4754@2759	NA|NA|NA	S	isomerase activity
symbB.v1.2.005920.t1	13037.EHJ73548	1.67e-08	64.3	Insecta													Arthropoda	39URR@33154,3BNQ4@33208,3D5MM@33213,3SQYU@50557,422BS@6656,KOG1075@1,KOG1075@2759	NA|NA|NA	S	Reverse transcriptase (RNA-dependent DNA polymerase)
symbB.v1.2.005928.t2	364733.XP_007787345.1	1.6e-14	89.0	Eurotiomycetes													Fungi	20FR9@147545,38DPC@33154,3NUZ7@4751,3QNZW@4890,COG2801@1,KOG0017@2759	NA|NA|NA	L	Encoded by
symbB.v1.2.005928.t1	364733.XP_007787345.1	1.59e-14	89.0	Eurotiomycetes													Fungi	20FR9@147545,38DPC@33154,3NUZ7@4751,3QNZW@4890,COG2801@1,KOG0017@2759	NA|NA|NA	L	Encoded by
symbB.v1.2.005929.t1	4792.ETI42839	2.76e-214	708.0	Peronosporales	POLR3A	GO:0000428,GO:0000731,GO:0001817,GO:0001819,GO:0002376,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003899,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005665,GO:0005666,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006301,GO:0006351,GO:0006366,GO:0006383,GO:0006399,GO:0006725,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009304,GO:0009987,GO:0010467,GO:0010494,GO:0016070,GO:0016591,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0019985,GO:0030880,GO:0031974,GO:0031981,GO:0032479,GO:0032481,GO:0032648,GO:0032728,GO:0032774,GO:0032991,GO:0033554,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0034660,GO:0035770,GO:0036464,GO:0042797,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0045087,GO:0046483,GO:0048518,GO:0050789,GO:0050896,GO:0051239,GO:0051240,GO:0051716,GO:0055029,GO:0061695,GO:0065007,GO:0070013,GO:0071704,GO:0071897,GO:0090304,GO:0097159,GO:0097659,GO:0097747,GO:0098781,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902494,GO:1990234,GO:1990904	2.7.7.6	ko:K03018,ko:K21594	ko00230,ko00240,ko01100,ko03020,ko04623,ko05169,map00230,map00240,map01100,map03020,map04623,map05169	M00181	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03029				Eukaryota	3QDI4@4776,COG0086@1,KOG0261@2759	NA|NA|NA	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
symbB.v1.2.005931.t1	99158.XP_008882997.1	7.13e-98	356.0	Sarcocystidae													Apicomplexa	3Y9R3@5794,3YK8U@5796,3YUHK@5809,KOG1326@1,KOG1326@2759	NA|NA|NA	M	Protein kinase C conserved region 2 (CalB)
symbB.v1.2.005935.t1	383372.Rcas_1422	7.85e-10	71.2	Chloroflexia	ispH		1.17.7.4	ko:K02945,ko:K03527	ko00900,ko01100,ko01110,ko01130,ko03010,map00900,map01100,map01110,map01130,map03010	M00096,M00178	R05884,R08210	RC01137,RC01487	br01610,ko00000,ko00001,ko00002,ko01000,ko03011				Bacteria	2G90B@200795,3752P@32061,COG0539@1,COG0539@2	NA|NA|NA	J	PFAM RNA binding S1 domain protein
symbB.v1.2.005935.t2	383372.Rcas_1422	8.14e-10	71.2	Chloroflexia	ispH		1.17.7.4	ko:K02945,ko:K03527	ko00900,ko01100,ko01110,ko01130,ko03010,map00900,map01100,map01110,map01130,map03010	M00096,M00178	R05884,R08210	RC01137,RC01487	br01610,ko00000,ko00001,ko00002,ko01000,ko03011				Bacteria	2G90B@200795,3752P@32061,COG0539@1,COG0539@2	NA|NA|NA	J	PFAM RNA binding S1 domain protein
symbB.v1.2.005936.t1	35128.Thaps24555	1.34e-48	179.0	Bacillariophyta													Eukaryota	2ED5X@1,2SIVP@2759,2XDIP@2836	NA|NA|NA		
symbB.v1.2.005938.t1	2880.D7FV23	0.0	981.0	Eukaryota	PFP-BETA	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006793,GO:0006796,GO:0007275,GO:0008150,GO:0008152,GO:0008443,GO:0009719,GO:0009725,GO:0009735,GO:0009790,GO:0009791,GO:0009793,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010154,GO:0015979,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019200,GO:0022414,GO:0030312,GO:0032501,GO:0032502,GO:0042221,GO:0044237,GO:0044238,GO:0044262,GO:0044424,GO:0044444,GO:0044464,GO:0046686,GO:0046835,GO:0047334,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0050896,GO:0061458,GO:0071704,GO:0071944	2.7.1.90	ko:K00895	ko00010,ko00030,ko00051,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00051,map01100,map01110,map01120,map01130		R00764,R02073	RC00017	ko00000,ko00001,ko01000				Eukaryota	COG0205@1,KOG2440@2759	NA|NA|NA	G	6-phosphofructokinase activity
symbB.v1.2.005938.t2	2880.D7FV23	5.12e-310	931.0	Eukaryota	PFP-BETA	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006793,GO:0006796,GO:0007275,GO:0008150,GO:0008152,GO:0008443,GO:0009719,GO:0009725,GO:0009735,GO:0009790,GO:0009791,GO:0009793,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010154,GO:0015979,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019200,GO:0022414,GO:0030312,GO:0032501,GO:0032502,GO:0042221,GO:0044237,GO:0044238,GO:0044262,GO:0044424,GO:0044444,GO:0044464,GO:0046686,GO:0046835,GO:0047334,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0050896,GO:0061458,GO:0071704,GO:0071944	2.7.1.90	ko:K00895	ko00010,ko00030,ko00051,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00051,map01100,map01110,map01120,map01130		R00764,R02073	RC00017	ko00000,ko00001,ko01000				Eukaryota	COG0205@1,KOG2440@2759	NA|NA|NA	G	6-phosphofructokinase activity
symbB.v1.2.005939.t1	44056.XP_009040562.1	3.17e-12	70.1	Eukaryota				ko:K16582					ko00000,ko01000,ko03036,ko04812				Eukaryota	KOG2158@1,KOG2158@2759	NA|NA|NA	KT	positive regulation of cilium movement
symbB.v1.2.005939.t2	44056.XP_009040562.1	2.19e-11	70.1	Eukaryota				ko:K16582					ko00000,ko01000,ko03036,ko04812				Eukaryota	KOG2158@1,KOG2158@2759	NA|NA|NA	KT	positive regulation of cilium movement
symbB.v1.2.005940.t1	110365.A0A023B173	8.57e-53	191.0	Apicomplexa		GO:0000165,GO:0000187,GO:0001817,GO:0001932,GO:0001934,GO:0002218,GO:0002221,GO:0002224,GO:0002237,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0002757,GO:0002758,GO:0002764,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004683,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005813,GO:0005815,GO:0005829,GO:0005856,GO:0006082,GO:0006464,GO:0006468,GO:0006690,GO:0006691,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006897,GO:0006907,GO:0006950,GO:0006952,GO:0006954,GO:0006974,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0008150,GO:0008152,GO:0009605,GO:0009607,GO:0009617,GO:0009892,GO:0009893,GO:0009894,GO:0009895,GO:0009931,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010468,GO:0010562,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010646,GO:0010647,GO:0010857,GO:0015630,GO:0016192,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018105,GO:0018193,GO:0018209,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019752,GO:0019899,GO:0019900,GO:0019901,GO:0023014,GO:0023051,GO:0023052,GO:0023056,GO:0031323,GO:0031324,GO:0031325,GO:0031329,GO:0031330,GO:0031347,GO:0031349,GO:0031399,GO:0031401,GO:0031974,GO:0031981,GO:0032147,GO:0032268,GO:0032270,GO:0032496,GO:0032675,GO:0032680,GO:0033554,GO:0033674,GO:0033993,GO:0034097,GO:0035556,GO:0035924,GO:0036211,GO:0042221,GO:0042325,GO:0042327,GO:0043085,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043405,GO:0043406,GO:0043408,GO:0043410,GO:0043412,GO:0043436,GO:0043487,GO:0043488,GO:0043489,GO:0043549,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044281,GO:0044351,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0045088,GO:0045089,GO:0045859,GO:0045860,GO:0045934,GO:0045937,GO:0046777,GO:0048010,GO:0048255,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051019,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051246,GO:0051247,GO:0051252,GO:0051253,GO:0051338,GO:0051347,GO:0051704,GO:0051707,GO:0051716,GO:0060255,GO:0061013,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070848,GO:0070887,GO:0070935,GO:0071310,GO:0071363,GO:0071704,GO:0071900,GO:0071902,GO:0080090,GO:0080134,GO:0080135,GO:0098657,GO:0140096,GO:1900034,GO:1901564,GO:1901568,GO:1901700,GO:1902369,GO:1902373,GO:1902531,GO:1902533,GO:1903311,GO:1903312,GO:1903555	2.7.11.1	ko:K13412	ko04626,ko05145,map04626,map05145				ko00000,ko00001,ko01000,ko01001				Apicomplexa	3Y9J9@5794,KOG0032@1,KOG0032@2759	NA|NA|NA	T	Calcium-dependent protein kinase
symbB.v1.2.005941.t1	112098.XP_008610398.1	3.12e-62	218.0	Eukaryota				ko:K16582					ko00000,ko01000,ko03036,ko04812				Eukaryota	KOG2158@1,KOG2158@2759	NA|NA|NA	KT	positive regulation of cilium movement
symbB.v1.2.005942.t1	81824.XP_001747353.1	1.43e-76	253.0	Opisthokonta													Opisthokonta	38DDK@33154,COG0604@1,KOG1198@2759	NA|NA|NA	C	oxidoreductase activity
symbB.v1.2.005944.t1	3218.PP1S78_207V6.2	6.95e-24	112.0	Streptophyta													Viridiplantae	28K6M@1,2QSM6@2759,37PQE@33090,3GHIH@35493	NA|NA|NA	G	Belongs to the glycosyltransferase 8 family
symbB.v1.2.005945.t1	3218.PP1S78_207V6.2	7.36e-34	145.0	Streptophyta													Viridiplantae	28K6M@1,2QSM6@2759,37PQE@33090,3GHIH@35493	NA|NA|NA	G	Belongs to the glycosyltransferase 8 family
symbB.v1.2.005946.t1	929712.KI912613_gene4888	9.48e-35	144.0	Rubrobacteria	aes		3.1.1.83	ko:K14731	ko00903,ko00930,ko01220,map00903,map00930,map01220		R03751,R06390,R06391,R06392,R06393	RC00713,RC00983,RC01505	ko00000,ko00001,ko01000				Bacteria	2I8XP@201174,4CRPP@84995,COG0657@1,COG0657@2	NA|NA|NA	I	Steryl acetyl hydrolase
symbB.v1.2.005947.t3	42345.XP_008808990.1	3.44e-167	526.0	Liliopsida		GO:0000966,GO:0000967,GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004532,GO:0004534,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006364,GO:0006396,GO:0006401,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008409,GO:0009056,GO:0009057,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010586,GO:0010587,GO:0010604,GO:0010628,GO:0016070,GO:0016072,GO:0016075,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0019222,GO:0019439,GO:0022613,GO:0034470,GO:0034471,GO:0034641,GO:0034655,GO:0034660,GO:0034661,GO:0042254,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043632,GO:0043633,GO:0043634,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0048518,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0060147,GO:0060149,GO:0060255,GO:0060968,GO:0060969,GO:0065007,GO:0071025,GO:0071027,GO:0071029,GO:0071035,GO:0071046,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0090503,GO:0140098,GO:1901360,GO:1901361,GO:1901575		ko:K12619	ko03008,ko03018,map03008,map03018				ko00000,ko00001,ko01000,ko03009,ko03016,ko03019,ko03021				Viridiplantae	37RBH@33090,3GFH2@35493,3KM94@4447,COG5049@1,KOG2044@2759	NA|NA|NA	ADL	5'-3' exoribonuclease activity
symbB.v1.2.005947.t2	42345.XP_008808990.1	3.09e-159	526.0	Liliopsida		GO:0000966,GO:0000967,GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004532,GO:0004534,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006364,GO:0006396,GO:0006401,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008409,GO:0009056,GO:0009057,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010586,GO:0010587,GO:0010604,GO:0010628,GO:0016070,GO:0016072,GO:0016075,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0019222,GO:0019439,GO:0022613,GO:0034470,GO:0034471,GO:0034641,GO:0034655,GO:0034660,GO:0034661,GO:0042254,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043632,GO:0043633,GO:0043634,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0048518,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0060147,GO:0060149,GO:0060255,GO:0060968,GO:0060969,GO:0065007,GO:0071025,GO:0071027,GO:0071029,GO:0071035,GO:0071046,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0090503,GO:0140098,GO:1901360,GO:1901361,GO:1901575		ko:K12619	ko03008,ko03018,map03008,map03018				ko00000,ko00001,ko01000,ko03009,ko03016,ko03019,ko03021				Viridiplantae	37RBH@33090,3GFH2@35493,3KM94@4447,COG5049@1,KOG2044@2759	NA|NA|NA	ADL	5'-3' exoribonuclease activity
symbB.v1.2.005948.t1	4897.EEB06777	1.71e-123	419.0	Taphrinomycotina	SMC1	GO:0000070,GO:0000217,GO:0000228,GO:0000278,GO:0000280,GO:0000775,GO:0000779,GO:0000780,GO:0000793,GO:0000794,GO:0000798,GO:0000819,GO:0003674,GO:0003676,GO:0003677,GO:0003680,GO:0003690,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0007064,GO:0008094,GO:0008104,GO:0008150,GO:0008152,GO:0008278,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022402,GO:0030892,GO:0031974,GO:0031981,GO:0032991,GO:0033036,GO:0033365,GO:0033554,GO:0034085,GO:0034087,GO:0034502,GO:0034613,GO:0034641,GO:0034990,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043388,GO:0043565,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0046483,GO:0048285,GO:0050896,GO:0051098,GO:0051099,GO:0051101,GO:0051179,GO:0051276,GO:0051641,GO:0051716,GO:0061775,GO:0061780,GO:0062022,GO:0065007,GO:0065009,GO:0070013,GO:0070727,GO:0071168,GO:0071704,GO:0071840,GO:0071921,GO:0090304,GO:0097159,GO:0098687,GO:0098813,GO:0140014,GO:1901360,GO:1901363,GO:1903047,GO:1990837		ko:K06636	ko04110,ko04111,ko04113,ko04114,map04110,map04111,map04113,map04114				ko00000,ko00001,ko03036				Fungi	38CKC@33154,3MBYG@451866,3NXCA@4751,3QKJ5@4890,COG1196@1,KOG0018@2759	NA|NA|NA	B	Structural maintenance of chromosomes protein
symbB.v1.2.005950.t1	296587.XP_002499459.1	5.76e-16	90.1	Eukaryota													Eukaryota	2C3ZJ@1,2REV2@2759	NA|NA|NA		
symbB.v1.2.005950.t2	296587.XP_002499459.1	5.38e-16	90.1	Eukaryota													Eukaryota	2C3ZJ@1,2REV2@2759	NA|NA|NA		
symbB.v1.2.005952.t1	45351.EDO39487	7.52e-16	89.7	Opisthokonta													Opisthokonta	2BMF7@1,2S1KU@2759,3A4QY@33154	NA|NA|NA		
